forecaster_type,forecaster,date,PS,VI,CI,DI
quant_modeler,economist,2020-05-14,0.04122549019607842,0.2499038831218762,0.03142156862745098,0.24009996155324873
quant_modeler,jhk,2020-05-14,0.04321428571428571,0.25,0.025357142857142856,0.23214285714285715
quant_modeler,economist,2020-05-15,0.04112745098039215,0.2499038831218762,0.04112745098039215,0.2499038831218762
quant_modeler,jhk,2020-05-15,0.04415178571428572,0.25,0.03224702380952381,0.2380952380952381
quant_modeler,economist,2020-05-16,0.04254901960784314,0.2499038831218762,0.03274509803921568,0.24009996155324873
quant_modeler,jhk,2020-05-16,0.042499999999999996,0.25,0.02464285714285714,0.23214285714285715
quant_modeler,economist,2020-05-17,0.042303921568627445,0.2499038831218762,0.032499999999999994,0.24009996155324873
quant_modeler,jhk,2020-05-17,0.04375,0.25,0.03482142857142857,0.24107142857142858
quant_modeler,economist,2020-05-18,0.042156862745098035,0.2499038831218762,0.032352941176470584,0.24009996155324873
quant_modeler,jhk,2020-05-18,0.04352678571428571,0.25,0.03459821428571429,0.24107142857142858
quant_modeler,economist,2020-05-19,0.04240196078431372,0.2499038831218762,0.03259803921568627,0.24009996155324873
quant_modeler,jhk,2020-05-19,0.045267857142857144,0.25,0.03633928571428572,0.24107142857142858
quant_modeler,economist,2020-05-20,0.039950980392156867,0.2499038831218762,0.03014705882352941,0.24009996155324873
quant_modeler,jhk,2020-05-20,0.04424107142857143,0.25,0.026383928571428572,0.23214285714285715
quant_modeler,economist,2020-05-21,0.039950980392156867,0.2499038831218762,0.030147058823529412,0.24009996155324873
quant_modeler,jhk,2020-05-21,0.04424107142857143,0.25,0.026383928571428572,0.23214285714285715
quant_modeler,economist,2020-05-22,0.03980392156862745,0.2499038831218762,0.03980392156862745,0.2499038831218762
quant_modeler,jhk,2020-05-22,0.04339285714285714,0.25,0.022559523809523807,0.22916666666666669
quant_modeler,economist,2020-05-23,0.03980392156862745,0.2499038831218762,0.03980392156862745,0.2499038831218762
quant_modeler,jhk,2020-05-23,0.04339285714285714,0.25,0.022559523809523807,0.22916666666666669
quant_modeler,economist,2020-05-24,0.039705882352941174,0.2499038831218762,0.039705882352941174,0.2499038831218762
quant_modeler,jhk,2020-05-24,0.04441964285714285,0.25,0.032514880952380955,0.2380952380952381
quant_modeler,economist,2020-05-25,0.039558823529411764,0.2499038831218762,0.039558823529411764,0.2499038831218762
quant_modeler,jhk,2020-05-25,0.04473214285714285,0.25,0.032827380952380955,0.2380952380952381
quant_modeler,economist,2020-05-26,0.03980392156862745,0.2499038831218762,0.03980392156862745,0.2499038831218762
quant_modeler,jhk,2020-05-26,0.0440625,0.25,0.03513392857142857,0.24107142857142858
quant_modeler,economist,2020-05-27,0.039950980392156867,0.2499038831218762,0.039950980392156867,0.2499038831218762
quant_modeler,jhk,2020-05-27,0.042812499999999996,0.25,0.024955357142857144,0.23214285714285715
quant_modeler,economist,2020-05-28,0.03980392156862745,0.2499038831218762,0.03980392156862745,0.2499038831218762
quant_modeler,jhk,2020-05-28,0.04383928571428571,0.25,0.03491071428571429,0.24107142857142858
quant_modeler,economist,2020-05-29,0.03990196078431372,0.2499038831218762,0.03990196078431372,0.2499038831218762
quant_modeler,jhk,2020-05-29,0.043258928571428566,0.25,0.03433035714285714,0.24107142857142858
quant_modeler,economist,2020-05-30,0.039950980392156867,0.2499038831218762,0.039950980392156867,0.2499038831218762
quant_modeler,jhk,2020-05-30,0.04383928571428571,0.25,0.03491071428571429,0.24107142857142858
quant_modeler,economist,2020-05-31,0.04044117647058824,0.2499038831218762,0.030637254901960783,0.24009996155324873
quant_modeler,jhk,2020-05-31,0.04486607142857143,0.25,0.035937500000000004,0.24107142857142858
quant_modeler,538,2020-06-01,0.046607142857142854,0.25,0.03767857142857143,0.24107142857142858
quant_modeler,economist,2020-06-01,0.03848039215686275,0.2499038831218762,0.018872549019607842,0.23029603998462128
quant_modeler,jhk,2020-06-01,0.043437500000000004,0.25,0.03153273809523809,0.2380952380952381
quant_modeler,538,2020-06-02,0.04700892857142857,0.25,0.03808035714285714,0.24107142857142858
quant_modeler,economist,2020-06-02,0.03803921568627451,0.2499038831218762,0.01843137254901961,0.23029603998462128
quant_modeler,jhk,2020-06-02,0.043883928571428574,0.25,0.03197916666666666,0.2380952380952381
quant_modeler,538,2020-06-03,0.046517857142857146,0.25,0.025684523809523806,0.22916666666666669
quant_modeler,economist,2020-06-03,0.039068627450980394,0.2499038831218762,0.01946078431372549,0.23029603998462128
quant_modeler,jhk,2020-06-03,0.04348214285714286,0.25,0.031577380952380954,0.2380952380952381
quant_modeler,538,2020-06-04,0.047366071428571424,0.25,0.026532738095238095,0.22916666666666669
