cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other,voteshare_inc_hi,voteshare_chal_hi,voteshare_3rd_hi,voteshare_other_hi,voteshare_inc_lo,voteshare_chal_lo,voteshare_3rd_lo,voteshare_other_lo,margin,margin_hi,margin_lo,win_EC_if_win_state_inc,win_EC_if_win_state_chal,win_state_if_win_EC_inc,win_state_if_win_EC_chal,state_turnout,state_turnout_hi,state_turnout_lo,timestamp,simulations
2020,President,polls-plus,11/3/20,Trump,Biden,,Alaska,0.001775,0.8227691,0.8505,0.1495,,52.94961,44.49561,,2.554776,58.26559,49.84647,,3.817958,47.58707,39.16547,,1.444931,8.454002,19.05526,-2.169584,0.1184597,0.9787626,0.9696824,0.1641151,346016,392542,300773,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Alabama,0.00025,0.016875,0.98355,0.01645,,59.61611,39.61551,,0.7683759,64.73994,44.81895,,1.11658,54.41928,34.4786,,0.4543543,20.0006,30.25863,9.604773,0.1054598,0.987842,0.9983157,0.0182257,2337021,2662350,2024075,11/3/20 0:00,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,Wyoming,0.000025,0.0162176,0.998175,0.001825,,65.77608,31.04812,,3.175805,71.01778,36.204,,4.769683,60.54909,25.90106,,1.779364,34.72796,44.95722,24.45641,0.1028377,0.9863014,0.9997565,0.0020152,274888,320039,231616,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,Wisconsin,0.05435,2.601372,0.056875,0.943125,,45.37929,53.68772,,0.9329947,48.67966,56.98141,,1.361131,42.08554,50.3763,,0.5480633,-8.308431,-1.713987,-14.86793,0.7657143,0.933731,0.4241539,0.9859214,3326697,3753619,2908453,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,West Virginia,0.0000375,0.0087963,0.992375,0.007625,,64.48208,33.77437,,1.743548,70.77834,40.12347,,2.580826,58.14001,27.4934,,1.001315,30.70771,43.26118,18.07453,0.103338,0.9836066,0.9987826,0.0083968,749758,867353,637245,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,Washington,0.00185,0.0667365,0.007975,0.992025,,37.00694,60.76324,,2.229815,42.22975,65.98106,,3.319814,31.7976,55.5175,,1.268212,-23.7563,-13.36882,-34.08258,0.2601881,0.8945087,0.0202094,0.9934785,4431528,5018704,3858361,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,Virginia,0.01075,0.3745359,0.00875,0.99125,,43.28287,55.78128,,0.9358472,46.38227,58.85271,,1.36539,40.20931,52.6785,,0.5496838,-12.49842,-6.297647,-18.64598,0.7771429,0.8991677,0.0662284,0.9978728,4597697,5187583,4012962,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,Vermont,0.0001875,0.0864967,0.004225,0.995775,,29.07396,67.17516,,3.750875,36.13666,74.1321,,5.65806,22.24411,59.99094,,2.085869,-38.1012,-23.99149,-51.74768,0.2130177,0.8936758,0.0087655,0.9963054,346064,394963,298589,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,Utah,0.0009375,0.1127932,0.954025,0.045975,,55.45314,41.69749,,2.84936,60.43801,46.66741,,4.267364,50.44376,36.73896,,1.603965,13.75565,23.58867,3.883053,0.1068368,0.983143,0.9926954,0.0506046,1355993,1550593,1166152,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,Texas,0.0230625,0.3030087,0.61535,0.38465,,50.30164,48.79273,,0.9056222,53.69046,52.15483,,1.320371,46.93502,45.40438,,0.5325024,1.508912,8.285816,-5.197262,0.1663687,0.9992201,0.9970782,0.4303068,12146245,13739900,10582450,11/2/20 23:45,40000
